level,levelName,vName,WVBC
1,Functional purposes,Provide efficient and accessible mobility,0
2,Values and priority measures,Increased road user safety,15.2
2,Values and priority measures,Road user satisfaction,1.2000000000000002
3,Generalised functions,Safe efficient traffic flow,10.166666666666666
3,Generalised functions,Compliant user behaviour,10.166666666666666
3,Generalised functions,Effective occupant protection,10.166666666666666
4,Object-related processes,Road Transportation System capabilities and limitations,5.2
4,Object-related processes,Driver capabilities and limitations,5.2
4,Object-related processes,Vehicle capacity,5.2
5,Physical objects,Vehicle components,1.5
